Dimensiones,Representacion,Fitness_Evolutivo,F1_Test,Nodos_Finales,Conexiones_Finales,pop_size,node_add_prob,conn_add_prob,conn_delete_prob,compatibility_threshold,weight_mutate_rate,survival_threshold,num_inputs
0.2,TFIDF,0.4887561927939287,0.3825466420339822,4,276,100,0.1,0.1,0.1,2.5,0.5,0.5,457
0.2,TFIDF,0.3912273960774639,0.37176805379290356,4,277,200,0.1,0.1,0.1,2.5,0.5,0.5,457
0.2,TFIDF,0.4464590725392598,0.38605153112362367,3,273,400,0.1,0.1,0.1,2.5,0.5,0.5,457
0.25,TFIDF,0.3608738434717189,0.4034050557327585,4,345,100,0.1,0.1,0.1,2.5,0.5,0.5,571
0.25,TFIDF,0.4304476494718812,0.41533294825385153,3,344,200,0.1,0.1,0.1,2.5,0.5,0.5,571
0.25,TFIDF,0.39664610579738435,0.39144541525287413,5,348,400,0.1,0.1,0.1,2.5,0.5,0.5,571
0.3,TFIDF,0.3779198209198208,0.4257730780875993,4,411,100,0.1,0.1,0.1,2.5,0.5,0.5,685
0.3,TFIDF,0.4016237703042782,0.4325568816026831,5,415,200,0.1,0.1,0.1,2.5,0.5,0.5,685
0.3,TFIDF,0.4215983519404572,0.34810551179719534,3,412,400,0.1,0.1,0.1,2.5,0.5,0.5,685
0.2,WE,0.5863879056047198,0.43333578175342674,5,111,100,0.1,0.1,0.1,2.5,0.5,0.5,180
0.2,WE,0.56337106918239,0.37155460680795893,4,112,200,0.1,0.1,0.1,2.5,0.5,0.5,180
0.2,WE,0.5892278603749193,0.41070209693923704,3,107,400,0.1,0.1,0.1,2.5,0.5,0.5,180
0.25,WE,0.562936758341477,0.4341631595410891,3,136,100,0.1,0.1,0.1,2.5,0.5,0.5,225
0.25,WE,0.5527418300653595,0.41022002044976286,4,137,200,0.1,0.1,0.1,2.5,0.5,0.5,225
0.25,WE,0.5841499385361639,0.41675088290330836,4,138,400,0.1,0.1,0.1,2.5,0.5,0.5,225
0.3,WE,0.5064830900714716,0.3926160502515182,3,160,100,0.1,0.1,0.1,2.5,0.5,0.5,270
0.3,WE,0.5249998995378743,0.39794520887353135,3,163,200,0.1,0.1,0.1,2.5,0.5,0.5,270
0.3,WE,0.5486045573488835,0.46364742825853095,3,162,400,0.1,0.1,0.1,2.5,0.5,0.5,270
